"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"KC294216",0.407586848488392,0.488790675790052,0.480759373858179,0.511805007587775,0.472739920302182,0.43778722794834,0.473160165099919,0.520245521260008,0.465106770860703,0.417441411235624,0.439471366495829,0.467851892241851,0.434738813835812,0.398733901903303,0.543831495645762,0.412989436049424,0.425506927985813,0.0639700778101323,0.156886509199345,0.139310668003195,0,0.165063754145735,0.132883452294052,0.199885013642014,0.154623303818443,0.153887531095508,0.260428830680929,0.222331404183432,0.156027065177666,0.0544136453308313,0.0629995111390872,0.062306904050804,0.39151320166032,0.509490861318653,0.521510000225629,0.39658660016887,0.515840553363584,0.68481510161767,0.751341114205123,0.785598216772187,0.711454891220037
"KC131142",0.582926514244708,0.609871561902538,0.698392328656906,0.696123371448156,0.642398306099259,0.539733055011414,0.625093187303824,0.682795163929379,0.722018854862851,0.556770177185562,0.64029384300181,0.669352241821344,0.666042909158753,0.568503344692523,0.674564673168557,0.559448765498991,0.613869760418498,0.224168555057018,0.194562348154778,0.155258735357901,0.165063754145735,0,0.200107731718297,0.316778790344718,0.206045233520066,0.224404365010595,0.367538578075016,0.296882803177471,0.226420002004357,0.198066953615851,0.172193847700613,0.220172667058054,0.512963517575777,0.528389053583743,0.600687093606505,0.489421589580524,0.515753314481378,0.751105922633576,0.798456475069955,0.85053944088173,0.748023796654816
"JQ922549",0.548232976635972,0.493727261679222,0.609530303568042,0.621839520555002,0.605527278868845,0.579944524362846,0.525165372323542,0.599788939309931,0.625764813840407,0.515205438970445,0.553811768993133,0.613608477333898,0.580615058736474,0.561402058879785,0.625537844790475,0.562640039020037,0.563458771937439,0.19432300334208,0.0503545099826113,0.0843428294437753,0.132883452294052,0.200107731718297,0,0.158018249029014,0.164505243358283,0.0695437422012067,0.165191285951071,0.123476068790678,0.170801163238275,0.155184988694526,0.172228580161895,0.170174123493872,0.496880548024359,0.547489607422922,0.587470690538358,0.464814841077722,0.512988075078148,0.656148479390364,0.671982844362006,0.74612004155102,0.694087116647303
"JQ922550",0.450116338706487,0.393986496305256,0.456054517103293,0.449536032088148,0.407957093498848,0.415597865302335,0.385590571135951,0.451217452986583,0.472827946902646,0.402675242766423,0.414439861570439,0.458577211898934,0.422973776838148,0.415832817620715,0.400982299962878,0.440981455704961,0.427425510964153,0.22406989536991,0.217786000213661,0.174883832893833,0.199885013642014,0.316778790344718,0.158018249029014,0,0.180861100305306,0.201479518497164,0.0606642425030212,0.110943379347894,0.180376313082927,0.212052532176513,0.190783788232797,0.219824057139188,0.336631803332482,0.456367485340778,0.418791325635989,0.326223267956936,0.42990363741342,0.514042701404954,0.524576974413367,0.562887435081762,0.545802363392552
"KC964095",0.37757647298298,0.463241175144974,0.455955039152233,0.482153240001353,0.469625159522467,0.399318954370655,0.423669399492944,0.483974949955627,0.453867880242462,0.410122339140439,0.464065301599372,0.480379155146435,0.402284943801593,0.363017211563666,0.532622170667973,0.368655113707803,0.42140767249524,0.172333570751711,0.174531255841476,0.169248725501894,0.154623303818443,0.206045233520066,0.164505243358283,0.180861100305306,0,0.123629620425854,0.222493911675828,0.173982632808213,0.0608489739315952,0.195486575733646,0.173167401030204,0.144088423252346,0.405203716637331,0.571048589695889,0.594575523901661,0.422500885148135,0.522725501493814,0.626041408204214,0.647820842787579,0.733144880058124,0.655651812507208
"JQ922551",0.51314096417017,0.498365240809931,0.544534079677288,0.630862323689035,0.601875495437017,0.529295035633272,0.487958400617292,0.596165192933303,0.593428790653337,0.521499974918873,0.535424298251123,0.592617909454928,0.53389033016332,0.530812698518161,0.597885391965097,0.508358749159297,0.532831013283883,0.190942067592492,0.0877362699789571,0.11259114231143,0.153887531095508,0.224404365010595,0.0695437422012067,0.201479518497164,0.123629620425854,0,0.222158455476082,0.138429579213464,0.142635491444169,0.196642781597878,0.188180221916479,0.143317782274184,0.473148415892864,0.566655650445885,0.605231482122128,0.502890162160873,0.524605725022369,0.686836396233812,0.720439750577551,0.776960085093533,0.705219976441205
"JQ922552",0.512047549334729,0.388234556880374,0.486104433943698,0.441549763606489,0.442036883854727,0.457290973929135,0.398126368853832,0.462829998857855,0.494699070149953,0.392637668801354,0.445715326197658,0.486012966482521,0.45563037325574,0.493320869784718,0.407705105255648,0.494464391938828,0.497223059536994,0.320395275497778,0.204466816361564,0.197309143817745,0.260428830680929,0.367538578075016,0.165191285951071,0.0606642425030212,0.222493911675828,0.222158455476082,0,0.120574677844787,0.244567665740999,0.294754236516295,0.282119919418027,0.301407712999311,0.417192909990105,0.530016349344421,0.509402739674496,0.42384761781724,0.469636787468308,0.520508330397555,0.500289111851978,0.563810976787153,0.555277058396789
"JQ922553",0.46173480322461,0.433819777268994,0.501257383383548,0.489100624778701,0.504923108898835,0.461741329621876,0.371413851155648,0.473662773696041,0.486086198323994,0.431364198521514,0.462040455847682,0.525903036782714,0.450359914153241,0.462434938016211,0.479986870554646,0.459294141473757,0.452233001827499,0.247878946936381,0.15891019875541,0.161687180507844,0.222331404183432,0.296882803177471,0.123476068790678,0.110943379347894,0.173982632808213,0.138429579213464,0.120574677844787,0,0.179377841717528,0.219006256241312,0.207984854124695,0.215169210801331,0.386339660265898,0.489629828437935,0.480860153604015,0.378179595437234,0.452071558913042,0.507873212134174,0.520173908108773,0.581076681489375,0.532613818237126
"FJ410195",0.379434816839397,0.468044533608235,0.451568771511792,0.48090470012844,0.440545767572035,0.360493826825352,0.443561650472834,0.459526858592461,0.448684253096367,0.400958376762317,0.465877694175643,0.461250049768883,0.401467138497353,0.368376016344627,0.516458047990134,0.365478318844503,0.416900024755017,0.170744194211687,0.196593871966133,0.179087920812946,0.156027065177666,0.226420002004357,0.170801163238275,0.180376313082927,0.0608489739315952,0.142635491444169,0.244567665740999,0.179377841717528,0,0.216379345756814,0.158183996956894,0.139473716447199,0.387833462159197,0.503421615821603,0.541103737345371,0.421569162160271,0.449699404203189,0.623831060163531,0.685233968068368,0.709721056882234,0.665452675670941
"DQ181801",0.458057362672901,0.541688827114232,0.594535920141018,0.577155116777027,0.542244764452902,0.49915118305425,0.506321216997896,0.567208912676054,0.545672770619557,0.471012342974615,0.516598722746342,0.562782241268379,0.524513214668624,0.444273747441468,0.597203531065164,0.483351342257988,0.47516703012375,0.0905093707033456,0.210625218465331,0.155161979082426,0.0544136453308313,0.198066953615851,0.155184988694526,0.212052532176513,0.195486575733646,0.196642781597878,0.294754236516295,0.219006256241312,0.216379345756814,0,0.0566879760851469,0.0927403227204292,0.435044778142224,0.538632044412105,0.551294559192256,0.378305939400772,0.573677716424263,0.668507548412723,0.698459009479644,0.76952324902789,0.684353628968172
"EU482666",0.358863353089906,0.473353571280012,0.481415809163956,0.521329370303128,0.443895460003448,0.396169480127323,0.418400952609475,0.482598637815857,0.43695463156334,0.424127990223185,0.421437944973328,0.456908776371123,0.412504880113774,0.339678234033092,0.492060145937789,0.354581700018313,0.365738668375841,0.0661067119123507,0.227395729854048,0.121988875639127,0.0629995111390872,0.172193847700613,0.172228580161895,0.190783788232797,0.173167401030204,0.188180221916479,0.282119919418027,0.207984854124695,0.158183996956894,0.0566879760851469,0,0.0889630939889493,0.361707963647512,0.451362865544023,0.449286562409067,0.329552522389071,0.46752777719589,0.673566492596987,0.743603471344722,0.773552363654116,0.683754590457543
"FJ744745",0.412454506217446,0.52143288920592,0.497111488656315,0.572693553403894,0.513748246371002,0.462189995806504,0.497690508780852,0.570535306279839,0.488713442498983,0.490888212797932,0.461571087600662,0.509641987387544,0.456938186637477,0.431708236928985,0.581714707380708,0.428737383067815,0.449710806055916,0.036045205773543,0.190737306298235,0.189978491002786,0.062306904050804,0.220172667058054,0.170174123493872,0.219824057139188,0.144088423252346,0.143317782274184,0.301407712999311,0.215169210801331,0.139473716447199,0.0927403227204292,0.0889630939889493,0,0.387951275809854,0.484529240403774,0.478424706166673,0.414810563025471,0.492097082581399,0.757359766593745,0.803454119515409,0.844224840085505,0.771832906195584
"AY858037",0.372574666874148,0.35394426261898,0.32823488400692,0.344374498341659,0.338209784048233,0.327063859157075,0.41767110887424,0.418610870396362,0.359412541276031,0.373616940147585,0.353962560603067,0.374187461032066,0.324337780936974,0.330389363642311,0.347189076223917,0.34323587048477,0.329394523793049,0.409109066535413,0.495179465118236,0.420747675291689,0.39151320166032,0.512963517575777,0.496880548024359,0.336631803332482,0.405203716637331,0.473148415892864,0.417192909990105,0.386339660265898,0.387833462159197,0.435044778142224,0.361707963647512,0.387951275809854,0,0.133970701296459,0.115477650832725,0.0733291103847355,0.139657343431383,0.499432327603832,0.683621485166515,0.636885089536598,0.573689248677847
"KF041254",0.523925680266552,0.444789891636309,0.489948057136165,0.522124357184447,0.43658487079602,0.456779604540864,0.565976634091675,0.563776021490764,0.559705248309999,0.528562884700571,0.478659713318356,0.526466939609384,0.548587381738963,0.492181565533491,0.464553996425008,0.482115654827861,0.470060783788531,0.499515116058752,0.547953139918418,0.481980014712856,0.509490861318653,0.528389053583743,0.547489607422922,0.456367485340778,0.571048589695889,0.566655650445885,0.530016349344421,0.489629828437935,0.503421615821603,0.538632044412105,0.451362865544023,0.484529240403774,0.133970701296459,0,0.0900418207893965,0.161946920979225,0.0350433668686096,0.569592149503102,0.771180096638874,0.713436007965422,0.674940774808275
"JQ922555",0.484691040353345,0.42629517521274,0.439145780134839,0.485520616840173,0.405339117613386,0.452273992547169,0.50932310172778,0.504757180293154,0.50353775794924,0.525699787193148,0.426374757867622,0.453342971553088,0.49222459343141,0.472201736626838,0.394116703823742,0.457970227604028,0.418035669926445,0.485325428327827,0.601413577968876,0.504756000735696,0.521510000225629,0.600687093606505,0.587470690538358,0.418791325635989,0.594575523901661,0.605231482122128,0.509402739674496,0.480860153604015,0.541103737345371,0.551294559192256,0.449286562409067,0.478424706166673,0.115477650832725,0.0900418207893965,0,0.138479635936059,0.108434387201891,0.556661777940907,0.748790158406002,0.692133734706453,0.653357886556411
